song,lyrics,year
Rock Island Line," Now, this here's the story about the Rock Island line Now, the Rock Island line is a railroad line And it runs down into New Orleasn And just outside of New Orleans is a big toll gate And all the trains that go through the toll gate Why, they gotta pay the man some money Less of course, they got certain things on board Then they okay, then they don't ever have to pay the man nothin' And right now, we see a train She's comin' on down the line And when she got up here to the toll gate The-a depot, he shout down to the driver He want to know what he got on board So he say a What you got on board there, boy And the driver, he sing right on back Down to the depot agent Tell him what he got on board The got a way of singing I got sheep, I got cows I got horses, I got pigs I got all livestock I got all livestock I got all livestock And the man say, well, he say Your alright there, boy You don't have to pay me nothin' Just get 'em on through So the train go through the toll gate And as it go through It got up a little bit of steam And a, a little bit of speed And when he sees me On the other side of the toll gate They, the driver shout back Down the line to the man 'Course you don't hear what he say now But home down the Rock Island line I fooled you, I fooled you I got pig iron, I got pig iron I got all pig iron He said, tell you where I'm goin', boy Goin' down the Rock Island line, yes, yes She's a mighty good road Oh well, the Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line Is a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line Well, I may be right I may be wrong I know you're gonna miss me when I'm gone Ya,the Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line She's a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line A B C, W X Y Z Cat's in the cupboard But he don't see me Now, the Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line She's a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line Hallaluah, I'm safe from sin The good Lord's comin' For to see me again Keep it goin' And the Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line She's a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line The Rock Island line She's a mighty good road Rock Island line is the road to ride Ya, the Rock Island line She's a mighty good road And if you want to ride You gotta ride it Like you find it Get your ticket at the station On the Rock Island line ",1943
Closing Comments, Closing comments made you wonder What was the start of it all Hunting to find the answers Unavailing attempts to be me Hey Did we distract you Did we prevent you Did we bore you Did we stop you And I'm Betrayed by you Won't be overlooked by you Betrayed Betrayed Hoped you were thinking of redemption Found out you erased the memories Erased the thought of me How can I believe this untrue I know I'm not insane Come take a look in my eyes ,1943
Of All the Gin Joints In All the Towns In All the World...," Of all the gin joints In all the towns In all the world In all the galaxies You had to be The one into which I've been hurled In the distance one little man Sits on the fringe of a wondrous expanse Physics, math, leave nothing to chance Binary beats make numbers dance On a map as vast as our lack of understanding Of even the spot you stand in Avast, nail your map to the mast Pieces of 8-bit data drift past Digits and data drifting in space Just sit and wait to be diligently saved In the Atlas and graphed And collated in ways Not even N.A.S.A could track Im Charles Darwin as he lands at the Galapagos Encountering a thousand-pound And winged Dog-billed Platypus Explore Fight Trade Survive Explore Fight Trade Survive In No Man's Sky Climb in your seat Close the window and fly Rise up now Go and find Why life thrives Look low and high Leave behind a gleaming line Of notes and signs Keep your enemies close See foes and fight For your life Until you're home and dry Avert your eyes From solar glowing lamp lights Who knew paradise would be so damn bright? Bright, bright Iridescent Opalescent So pleasant I'm getting a bit tumescent Free fall Three, Four Kilometres to the floor Wee, Phwoar! Me, I'm enthralled With all of the flora Fauna before me I thought I'd fall on a flaw Forced to the fore Fallen and forlorn Forever more What a terrible thought to be fought Before terraforming, exploring Forage through foreign forms Forest, Fawn Flower and thorn I've found and filed a thousand kinds And now I'll find a thousand more I didn't Forget them They're hidden Fluorescent Forbidden Effervescent I'm getting a bit tumescent If I am fortunate enough To find a formula for all the stuff The sky will fall from up above I'm flying for the love For the love For the love, for the love For the love For the love, For the love Explore Fight Trade Survive Explore Fight Trade Survive In No Man's Sky Climb in your seat Close the window and fly Rise up now Go and find Why life thrives Look low and high Leave behind a gleaming line Of notes and signs Keep your enemies close See foes and fight For your life Until you're home and dry Avert your eyes From solar glowing lamp lights Who knew paradise would be so damn bright? For the love For the love, for the love For the love For the love, for the love Wherever we've been we leave pollution We need a clean solution No matter whatever you believe in, you should See through to the conclusion Human beings are being a nuisance An abusive stream of evolution Views that seem to disagree Are surely leading you to ruin Through and through We need to do away with the delusion That the universe is merely here for amusement Hear the music It's a mutagen To neuter men's illusion Every creature's doomed For use through what we do to them Cease taking previous mistakes And reproducing them Let's clean the slate Wipe the canvas And make the painting beautious again In No Man's Sky Climb in your seat Close the window and fly Rise up now Go and find Why life thrives Look low and high Leave behind a gleaming line Of notes and signs Keep your enemies close See foes and fight For your life Until you're home and dry Avert your eyes From solar glowing lamp lights Who knew paradise would be so damn bright? ",1943
Christmas Song," This christmas I don't want silver, don't want gold I just want to see you naked underneath the mistletoe Hang the stockings, hit the lights I'll be coming down the chimney tonight So I get in the car and drive Don't wanna be alone on Christmas night I got Sinatra on the radio singin Jingle Bells and Let It Snow And I can barely see the road outside I remember last year I had to carry you home in that black dress But when it comes to this year, I wanna be with you on Christmas Be with you on Christmas Be with you on Christmas Baby it's cold outside So just come inside We'll light a fire tell the neighbors it's no silent night Under the mistletoe we can let it go It's getting so damn hot together we're meltin the snow I get in the car and drive Don't wanna be alone on Christmas Night I got Sinatra on the radio singin Jingle Bells and Let It Snow And I can barely see the road outside I remember last year I had to carry you home in that black dress But when it comes to this year, I wanna be with you Be with you on Christmas I got Sinatra on the radio singin Jingle Bells and Let It Snow And I can barely see the road outside I remember last year I had to carry you home in that black dress But when it comes to this year, I wanna be with you Be with you on Christmas Be with you on Christmas Be with you on Christmas ",1943
Knock On Wood," Never been the kind of guy who walks around ladders And I open up umbrellas when I'm inside Well, black cats that crossed my path, they never mattered But I've never had this much at stake Don't want to lose her by tempting fate So I'm gonna knock on wood Salt over my shoulder Do anything to keep her love Cause it feels so good every time I hold her Like I always dreamed it would I think this could be forever The two of us together - knock on wood Well, it's been two weeks and everything is coming up aces But I've seen my luck come, and I've seen it go And for the first time in my life, I'm not hesitating I knew after just one dance, I wasn't leaving this up to chance I'm gonna knock on wood Salt over my shoulder Do anything to keep her love Cause it feels so good every time I hold her Like I always dreamed it would I think this could be forever The two of us together - knock on wood, yeah Well, I've got my rabbit's foot around my neck That old wishing well's got half my paycheck Got a bag of four-leaf clovers Anything to be her lover Knock on wood Knock on wood I'm gonna knock on wood Salt over my shoulder Do anything to keep her love Cause it feels so good every time I hold her Like I always dreamed it would I think this could be forever The two of us together I think this could be forever The two of us together Knock on wood Knock on wood ",1943
Blues in the Night," Good riddance, goodbye Every trick of his, you're on to But fools will be fools, and where's he gone to? The road gets rougher It's lonelier and tougher With hope, you burn up Tomorrow, he may turn up There's just no let-up The livelong night and day Ever since this world began There is nothing sadder than A one-man woman Looking for the man that got away Don't know why There's no sun up in the sky Stormy weather Since my man and I ain't together Keeps rainin' all the time Life is bare Gloom and misery everywhere Stormy weather Just can't get my poor self together I'm weary all the time, the time So weary all the time When he went away The blues walked in and met me If he stays away Old rocking chair will get me All I do is pray The Lord above will let me Walk in the sun once more My mama done tol' me When I was in pigtails My mama done tol' me ""Hon, a man's gonna sweet-talk And give ya the big eye But when the sweet talkin's done A man is a two-face A worrisome thing Who'll leave ya to sing The blues in the night"" Now, the rain's a-fallin' Hear the train a-callin', ""Whooee!"" My mama done tol' me Hear that lonesome whistle Blowin' 'cross the trestle, ""Whooee!"" My mama done tol' me Ah-whooee-ah-whooee Ol' clickety-clack's a-echoin' back The blues in the night The evenin' breeze will start The trees to cryin' And the moon will hide its light When you get the blues in the night Take my word The mockingbird'll sing The saddest kind o' song He knows things are wrong and he's right Whooee-ooh Whooee-ooh From Natchez to Mobile From Memphis to St. Joe Wherever the four winds blow I' been in some big towns I heard me some big talk But there is one thing I know A man is a two-face A worrisome thing Who'll leave ya to sing The blues in the night Whooee-ooh Whooee-ooh My mama was right I know she was right There's blues in the night ",1943
St. Louis Blues, I hate to see that evening sun go down I hate to see that evening sun go down Because my little loved baby he done left this town If I feel tomorrow like I feel today if I feel tomorrow like I feel today I'll pack my bag and make my get away Oh the St Louis woman with those diamond rings She pulls her man around by the apron strings If it wasn't for powder or that store-brought hair That man of mine he wouldn't go nowhere nowhere I got the St Louis Blues just as bluest I can be I got a man with a heart like a rock cast in the sea Oh St Louis baby look what you're doin' to me If it wasn't for powder... I'm going back back to St Louis going back back to St Louis Going back back to St Louis going back back to St Louis ,1944
St. Louis Blues, I hate to see that evening sun go down I hate to see that evening sun go down Because my little loved baby he done left this town If I feel tomorrow like I feel today if I feel tomorrow like I feel today I'll pack my bag and make my get away Oh the St Louis woman with those diamond rings She pulls her man around by the apron strings If it wasn't for powder or that store-brought hair That man of mine he wouldn't go nowhere nowhere I got the St Louis Blues just as bluest I can be I got a man with a heart like a rock cast in the sea Oh St Louis baby look what you're doin' to me If it wasn't for powder... I'm going back back to St Louis going back back to St Louis Going back back to St Louis going back back to St Louis ,1944
No Love No Nothing," You thought I was something from afar You thought I'd totally excite you I guess it's just another thing to stand up close and ignite you Love is nothing, nothing, nothing Like they say... You gotta pick up the little pieces every day You were telling me the friends we have in common... By the time I figured it out you were yawning Love is nothing, like they say You gotta get up and work the people everyday And I thought, ""Who am I?"" ""Who's this guy?"" ""Would I lie To make the day blur into the night...?"" ",1944
Bura Na Mano," Fuk fuk fuk.. fukrey.. Paapan mare mendaki aur fukrey teer andaaz Life ke lag gaye ghode se fukrey na aate baaz… Ho chullal ki se not aa ki khajane ki se khaad Re kodaiyan bulke loot gayi dhanno inhein na aave laaj Sapno pe padaake de ja chuke siyaape Kaun bharega ib harzana… Fuk fuk.. fukrey… Saap seedhi ka khel tha bhaiya Chade koi, koi utre Fuk fuk fuk.. fukrey.. Re udta teer jahaan se gujre Thok salami aur jhuk re Fuk fuk fuk.. fukrey.. Saap seedhi ka khel tha bhaiya Chade koi, koi utre Fuk fuk.. fukrey… Arey aage pichhe, daayein-baayein Kahaan kahaan se khud re Jail se chhuti ho ri se TNT ki goli se Sabki lanka dhaayegi bura na maano bholi se Fukro ki yeh toli se haath mein khali jholi se Agla pichhla saara legi bura na mano bholi se Jill-e-ilahi boli maayi kuaan hai aage pichhe hai khaai Sher ka joda pichhe daoda gufa mein lipti kali kaai.. Jantar mantarrr kal kalantarrr Haath se munh tak kitna antar Bhulbhulaiya dhul chataiya Koi bataaye kaun sa hai center.. Re mugdal ke kile se taape Goran ke katar se jhaake Heera na moti na koi khajaana.. Fuk fuk.. fukrey… Saap seedhi ka khel tha bhaiya Chade koi, koi utre Fuk fuk fuk.. fukrey.. Re udta teer jahaan se gujre Thok salami aur jhuk re Fuk fuk.. fukrey… Ho.. saap seedhi ka khel tha bhaiya Chade koi, koi utre Fuk fuk.. fukrey… Arey aage pichhe, daayein-baayein Kahaan kahaan se khud re ",1944
Nella Vecchia Fattoria," Mi vengono attacchi di tachicardia, se arrivo al casello e c'è la polizia, se c'è la finanza e la cinofilia se voglio fumare e non c'ho la maria mi vengono attacchi di tachicardia. Mi vengono attacchi di tachicardia se arrivi da dietro e non so chi tu sia, se ti metti i tacchi mi guardi e mi tocchi ti mordi le labbra mi fissi negli occhi mi vengono attacchi di tachicardia Di problemi io ce ne ho un pacco da piccolo m'hanno rinchiuso in un sacco perciò sono un matto come un scacco tu tiri di coca io di borotalco vivo sul filo del rischio d'infarto mia madre ha avuto problemi col parto per ricucirla c'è voluto un sarto io più che un figlio un prodotto di scarto. Adesso vivo agitato e per calmarmi bevo sambuca alcolizzato, drogato, armato da spolmonato fumo un bazooka...adesso vivo agitato e per calmarmi bevo sambuca alcolizzato, drogato, armato da spolmonato fumo un bazooka... Mi vengono attacchi di tachicardia, se arrivo al casello e c'è la polizia, se c'è la finanza e la cinofilia se voglio fumare e non c'ho la maria mi vengono attacchi di tachicardia...Attacchi di tachicardia, se arrivo al casello e c'è la polizia, se c'è la finanza e la cinofilia se voglio fumare e non c'ho la maria...attacchi di tachicardia se arrivi da dietro e non so chi tu sia, se ti metti i tacchi mi guardi e mi tocchi mi vengono attacchi, d'attacchi, d'attacchi di tachicardia... Provo a stare calmo, la mia vita è tranquilla, dieta bilanciata anfetamine e camomilla ma sono sempre elettrico basta un scintilla e sembro un epilettico che balla la quadriglia. Più violento del Mai Tai, spingo più di un samurai, ho il cervello lesso disconnesso come una wifi. Mi fuso quasi KO, morto che più si che no prossimo all'autopsia-ia-iao...Nella vecchia fattoria mi vengono attacchi di tachicardia faccio sedute di psichiatria per debellare la mia malattia nel mio cervello c'è l'anarchia e non mi salverà l'ave maria, niente pregare meglio imprecare da porta portese a porta pia. Porta pazienza, portala via, portami il fumo se vai in Tunisia nel portafoglio c'ho carestia quindi di soldi non ho autonomia, vendo droga porta a porta mi perdo nella mia psiche contorta una volta all'anno è il mio compleanno mangio la candela e spegno la torta Mi vengono attacchi di tachicardia, se arrivo al casello e c'è la polizia, se c'è la finanza e la cinofilia se voglio fumare e non c'ho la maria mi vengono attacchi di tachicardia... ",1945
Christmas In Killarney," The holly green, the ivy green The prettiest picture you've ever seen Is Christmas in Killarney With all of the folks at home. It's nice, you know, to kiss your beau While cuddling under the mistletoe And Santa Claus you know, of course Is one of the boys from home. The door is always open The neighbors pay a call And Father John before he's gone Will bless the house and all. How grand it feels To click your heels And join in the fun Of the jigs and reels. I'm handing you no blarney The likes you've never known Is Christmas in Killarney With all of the folks at home... ",1945
Anything You Can Do," Anything you can do, I can do better. I can do anything Better than you. No, you can't. Yes, I can. No, you can't. Yes, I can. No, you can't. Yes, I can, Yes, I can! Anything you can be I can be greater. Sooner or later, I'm greater than you. No, you're not. Yes, I am. No, you're not. Yes, I am. No, you're NOT!. Yes, I am. Yes, I am! I can shoot a partridge With a single cartridge. I can get a sparrow With a bow and arrow. I can live on bread and cheese. And only on that? Yes. So can a rat! Any note you can reach I can go higher. I can sing anything Higher than you. No, you can't. (High) Yes, I can. (Higher) No, you can't. (Higher) Yes, I can. (Higher) No, you can't. (Higher) Yes, I can. (Higher) No, you can't. (Higher) Yes, I can. (Higher) No, you can't. (Higher) Yes, I CAN! (Highest) Anything you can buy I can buy cheaper. I can buy anything Cheaper than you. Fifty cents? Forty cents! Thirty cents? Twenty cents! No, you can't! Yes, I can, Yes, I can! Anything you can say I can say softer. I can say anything Softer than you. No, you can't. (Softly) Yes, I can. (Softer) No, you can't. (Softer) Yes, I can. (Softer) No, you can't. (Softer) Yes, I can. (Softer) YES, I CAN! (Full volume) I can drink my liquor Faster than a flicker. I can drink it quicker And get even sicker! I can open any safe. Without bein' caught? Sure. That's what I thought-- You crook! Any note you can hold I can hold longer. I can hold any note Longer than you. No, you can't. Yes, I can No, you can't. Yes, I can No, you can't. Yes, I can Yes, I-I-I-I-I-I-I-I-I No, you C-A-A-A-A-A-A-A-A-A-A-A-A-N'T-- CA-A-A-A-N! (Cough, cough!) Yes, you ca-a-a-an! Anything you can wear I can wear better. In what you wear I'd look better than you. In my coat? In your vest! In my shoes? In your hat! No, you can't! Yes, I can Yes, I CAN! Anything you say I can say faster. I can say anything Faster than you. No, you can't. (Fast) Yes, I can. (Faster) No, you can't. (Faster) Yes, I can. (Faster) Noyoucan't. (Faster) YesIcan! (Fastest) I can jump a hurdle. I can wear a girdle. I can knit a sweater. I can fill it better! I can do most anything! Can you bake a pie? No. Neither can I. Anything you can sing I can sing sweeter. I can sing anything Sweeter than you. No, you can't. (Sweetly) Yes, I can. (Sweeter) No, you can't. (Sweeter) Yes, I can. (Sweeter) No, you can't. (Sweeter) Yes, I can. (Sweeter) No, you can't, can't, can't (sweeter) Yes, I can, can, can (Sugary) Yes, I can! No, you can't! ",1946
Mano a Mano," What makes u judge quick and talk shit when I haven't even spit and u already on my dick what makes u prejudice and chase us like predators convincing the medias and population to get rid of us what makes u playa-hate and pack hate just cause I got my name writing on the plates of my Benz what makes u flip over my sisters scarf and generalize when the fact is u hide your true colors behind your disguise What makes u analyze every move I make step in the ring of debate and discover who's fake what makes u think u better than me when we got the same college degrees and I got all the right keys Mano a mano He who laugh last laugh longest See action speaks louder than words No mercy Mano a mano He who laugh last laugh longest See action speaks louder than words No mercy Pass that bucket water like one of those joints thirsty for life u ride - dirty dessert - to the point get the path right thinking that I might follow your steps right thinking u got flow stealing a dead mans show by getting the role right what a low life didn't your mamma tell u not to fuck with the dead right digging their graves up fucking their gimmicks and spread lies - like a bitch right making a mill on selling your soul to the shaitan with the American dream cream a la theme scheme fool!!! But no not mine Not how Bachiri succeed in making the money they earned right Bottom up - that's right By never forgetting the roots of mine Give it up y'all!!! Don't really gotta chance with a moro right Throw it up y'all!!! or I minimize everything in your life Mano a mano Tres hermanos Protagonista sin igual Disparando a todo mal Mano a mano Nos llevamos Proclamamos en papel Aprendiendo del ayer Mano a Mano Three brothers Protagonist without equal Sniping all the illness Mano a Mano We conduct us Proclaiming us in paper Always learning from the past Hardcore circumstances We quit we damage and dances going under like Atlantis and burn u logo to ashes while I flash this mic in they asses like Onassis making sure u can't harass this lunatic lyricist emerge from the abyss never seen this pissed by now I've topped u hit list The 4 elements with my middle finga equals my fist an intellectual fuck u u simply can't resist it's ridiculous how we spit u can't predict our future watch your mouth or I'ma shot ya cause we got tongues spitting bullets like guns with appetite like dons our name shines like them far away suns A Metaphysist Don't neglect my intellect The magnificent Has come to represent With rap lyrics so potent If they were stolen and spit out by others For sure they'll be choking Doing them off the dome Or with the paper and a pen so sick That u will think I'm half-human half jinn Toxicating the air more dangerous then plutonium Getting high of my shit thinking that it's opium Doping 'em while I sparkle in the darkness All u think about is trying being the largest While I stand heartless Thinking about being the hardest In this art kid that New York started I get elevated, while u getting departed On the spot Like acupuncture medicine Got lawyers practicing my words saying that they are relevant Ya heard me I said they are relevant ",1946
Sawan Aaya, Humko yeh batao Door kaise tum rehte ho Kaise judaai ka Gham yaara tum sehte ho Hum tanha mar jayenge Yaara teri yaad mein Dekho bheege hai kitna Ashqon ki barsat mein Zakham dikhaun kaise dil ke mere Logon ne kitna sataya hai Mujhe na aur rulana tu Sawan aaya hai Mere dardon ko mitana tu Sawan aaya hai Sabse chhupa ke tujhe seene se lagana hai Pyar me tere hadh se guzar jaana hai Itna pyaar kisi pe pehli baar aaya hai Mohabbat barsa dena tu Sawan aaya hai… Dil yeh dhadakta hai Tere dil ke hi dhadakne se Hum bhi tadapte hai Yaar tere hi thadapne se Ishq mein dooba dooba hun Mujhko na ab hosh hai Yaar zameen ke ishq mein Aasman behosh hai Kaise dikhaun ab junoon ye mera Tere ishq ne pagal banaya hai Dil nahi aur dukhana tu Sawan aaya hai Tere bhi zakham dikhana tu Sawan aaya hai Tumse door rehna Ek saza hai majburi hai Meri zindagi toh Yaar tere bin adhuri hai Log toh kya kya kehte hai Dil seh seh ke rota hai Kaise tumko bataun Mere sath sanam kya hota hai Apne paraye hone lage hain Jab se tumko apna banaya hai Hamesha saath nibhana tu Sawan aaya hai Tere aur mere milne ka Mausam aaya hai ,1947
Line 'Em," Thank you ladies and gentlemen! Hold your applause J'yeah, holla! Its bout to go down, shut em down! Just Blaze, Freeway! Young Chris! Young Guru! The Roc is definately in the building! J'yeah! uh, holla! uh oh! uh oh! uh oh! uh! J'yeah, listen, if the rhymes stop dumpin and beats stop knockin then Free still fuckin with Beans R-U to the G-S, manuver the ve throughout the U.S. with two teks of keys one start up your whip and the other start up your block retarded just like a Carter El Nino come take a sniff or take a few of you like the glass zit Stick shit in your artery ooouuu Hustlin's a part of me Niggas retardin me Come at the team wrong its like a see-saw They down and we up The pound heat clowns up I'm moving and re-up teks, blocks and keep gon' ?? and cocks like a school bus (why?) It make stops and it picks kids up and it wake up the block really early in the mornin Word, niggas want drama? Then line em up! Uh uh uh Line em up! Uh uh uh Line em up! Uh uh Line em up! I, I shut em down! Listen, if the coke stop jumpin and the block stop poppin Then Free still fuckin with Schi! M to the is-ash, come down with the gat take your sti-ash and kidnap your keeps One, puff in my face and the other go in your face Reatrded? This is a stick up if you slow then pick up the pace I came to take everything out your safe and even snatch all your jewelry (oouuu) Robbins a part of me, you just oughta be singin the same song when money low Ain't no parameters, snatch chains even honeys know amateurs get state green's and hit with 24 months From playin the game long, the eight long Make pockets short snatch hair and bones weight They been taking from us for too long it ain't wrong Line em up and I jam em all yo! They want a war with the Roc? OKAY! Cases catch 'em and beat 'em like O.J. I been stretchin my d's since the O'Jays Before I met Beans and Free, before Jay Homie, Pops never was there so I hustled 24 7 like the cops never was there Yeah, fuck a box cause the metal was there Fuck the cops cause the Fed's was paid I been settled for years, I'm ahead of my years Tuck the glock come pedal with K's We can settle it here We run with this beef, we runnin his peeps Like five in the mornin while they under them sheets (wake up) Like five gats drawn, soldiers come out they sleep Tell me what they gon' tell me when the gun out they reach Homie, we ain't gotta cheat Y'all ain't stopping Sig Young Gunner startin p. guard from State Property ",1947
Tea For Two," I'm discontented with homes that I've rented So I have invented my own. Darling, this place is lovely oasis Where life's weary taste is unknown Far from the crowded city Where flowers pretty caress the stream Cozy to hide in, to live side by side in, Don't let it apart in my dream Picture me upon your knee Just tea for two And two for tea Just me for you And you for me alone Nobody near us to see us or hear us No friends or relations On weekend vacations We won't have it known That we own a telephone, dear Day will break and I'll wake And start to bake a sugar cake For you to take for all the boys to see We will raise a family A boy for you And a girl for me Can't you see how happy we would be Picture you upon my knee Just tea for two And two for tea Just me for you And you for me alone Nobody near us to see us or hear us No friends or relations On weekend vacations We won't have it known That we own a telephone, dear Day will break, you'll wake And start to bake a sugar cake For you to take for all the boys to see We will raise a family A boy for you And a girl for me Can't you see how happy we would be ",1947
Red Bird, Well there's the fever That you can't deny Gonna' get together with my friends To see my redbirds fly On the TV Or at the ballpark Or on the radio in my truck Me and Grandpa used to listen to Mike Shannon and Jack Buck Yeah I can feel it coming One thing I know for sure Is I've got Redbird Fever and The Cardinals are the cure Yeah I've got Redbird Fever And I know we're the best It's a fact we're going all the way 'Cause we're better than the rest And I'll wear my Redbird colors To every inning that we play There ain't nothing better than a Good old Cardinal game So here's to my St. Louis out there Keeping up the fight Let me get a big Go Cards From ya Redbird fans tonight Go Cards There's other teams out there And yeah they can play But a Cardinal fan is proud and loud Until our dying day We drink cold beer and eat hot dogs On the bleachers in the sun No I don't need no other team 'Cause the Cards are number one Some people say we're crazy But Redbird fans are true 'Cause in this Cardinal nation We're all winners through and through Yeah I got Redbird Fever And I know we're the best It's a fact we're going all the way 'Cause we're better than the rest And I'll wear my redbird colors To every inning that we play There ain't nothing better than a Good old Cardinal game So here's to my St. Louis out there Keeping up the fight Let me get a big Go Cards From ya' Redbird fans tonight Go Cards Yeah I got Redbird Fever And I know we're the best It's a fact we're going all the way 'Cause we're better than the rest And I'll wear my Redbird colors To every inning that we play There ain't nothing better than a Good old Cardinal game So here's to my St. Louis out there Keeping up the fight Let me get a big Go cards From ya' Redbird fans tonight Go Cards Go Cards I said Go Cards ,1947
Polka Dots And Moonbeams," A country dance was being held in a garden I felt a bump and heard an ""Oh, beg your pardon"" Suddenly I saw polka dots and moonbeams All around a pug-nosed dream The music started and was I the perplexed one I held my breath and said ""May I have the next one?"" In my frightened arms, polka dots and moonbeams Sparkled on a pug-nosed dream There were questions in the eyes of other dancers As we floated over the floor There were questions but my heart knew all the answers And perhaps a few things more Now in a cottage built of lilacs and laughter I know the meaning of the words ""Ever after"" And I'll always see polka dots and moonbeams When I kiss the pug-nosed dream ",1947
Closing Remarks," If you're freezing on your left side And you're boiling on your right side Then I guess you might be warm upon the line There are many ways one can divide a life And I've got mine I was flying home and I Saw the sunset from the sky I saw the dark come spooning down upon the land And I thought about the distance we all cover And it made me sad And as the old year took a bow And joined the setting sun It comes around again Like a refrain And we all sing along And think of things we should've done Till one year when the new year never came Little comfort, little comfort I'm afraid you're not enough I've had some learning both unwelcome and unkind And it seems there's but one story told And then re-worked all throughout time Are you a good one or a cruel one It is just the laws that make us bad What can we do to measure where we stand Well, I judge myself by what I give to someone else So I'll know where I am Don't let that sense of urgency betray you in the dark The rustle of a curtain's not a sign Don't frame this picture now As some kind of closing remark And most of all stay warm upon the line Most of all stay warm upon the line It's best if you stay warm upon the line ",1947
Sixteen Tons," Some people say a man is made outta' mud A poor man's made outta' muscle and blood Muscle and blood and skin and bones A mind that's a-weak and a back that's strong You load sixteen tons, what do you get? Another day older and deeper in debt Saint Peter don't you call me 'cause I can't go I owe my soul to the company store I was born one mornin' when the sun didn't shine I picked up my shovel and I walked to the mine I loaded sixteen tons of number 9 coal And the straw boss said ""Well, a-bless my soul"" You load sixteen tons, what do you get? Another day older and deeper in debt Saint Peter, don't you call me 'cause I can't go I owe my soul to the company store I was born one mornin', it was drizzlin' rain Fightin' and trouble are my middle name I was raised in the canebrake by an ol' mama lion Cain't no-a high-toned woman make me walk the line You load sixteen tons, what do you get? Another day older and deeper in debt Saint Peter, don't you call me 'cause I can't go I owe my soul to the company store If you see me comin', better step aside A lotta men didn't, a lotta men died One fist of iron, the other of steel If the right one don't a-get you, then the left one will You load sixteen tons, what do you get? Another day older and deeper in debt Saint Peter, don't you call me 'cause I can't go I owe my soul to the company store ",1947
Old MacDonald Had a Farm," Old MacDonald had a farm E-I-E-I-Oh my God Thou shalt not take any more shit And I’ll split my sister in her motherfucking lip I’ll grab her by the hair And swing her in the air Twist my, twist my, twist my sister Jimmy crack corn and I don’t give a fuck I’ll take a butcher knife and And ram it in her fucking gut I’ll do a chicken dance over her dead body This is gonna hurt you more than me ",1948
El Maya, Ela é gostosa pra caralho Díficil de recusar Ela sabe que não pode Mas adora me tentar Safada Sabe que transa comigo do jeito que nenhuma transa Me abraça Pra dizer que vai embora Me beija Pra dizer que não pode ficar Tira minha roupa Mas jura não me amar Abre as pernas E me diz que eu não devia ter saído de lá Porque terminou comigo e continua ligando Sinceramente não consigo te entender Jura que eu não presto continua sentando Não ouviu aviões Se não me valorizar Prometo que vai me perder Tente não ficar com outro pensando em mim Isso machuca nois dois mo bê Juro não ficar com outra pensando em você Isso machuca nois dois mo bê ,1948
Les souvenirs," Je les entends Je les comprends Mais j'ai plus envie d'y croire Je les apprends comme un enfant Mais je ne veux plus les voir J'en vois passer J'en vois roder Mais maintenant ça ne m'aime plus J'en vois qui courent à mes côtés Sensation révolue Dans le courage et pour l'hommage Je me raccroche aux souvenirs Le temps qu'on calme Le temps d'un drame Je me raccroche aux souvenirs Pas qu'une photo mais un bonheur Pas qu'une chanson pour laquelle on pleure Me soutiennent dans mes propos Et m'entrainent trainent trainent Toujours plus haut Ils sont les conseils, l'assurance Ils sont les comptes et les avenirs Ils sont les rappels en confiance Bons ou mauvais on s'en inspire Je les relis Je les repasses Ça me ravis Ça me remplace Je les emploies Je les retraces en vain Dans le courage et pour l'hommage Je me raccroche aux souvenirs Le temps qu'on calme Le temps d'un drame Je me raccroche aux souvenirs Pas qu'une photo mais un bonheur Pas qu'une chanson pour laquelle on pleure Me soutiennent dans mes propos Et m'entrainent trainent trainent Toujours plus haut Je suis ici Je suis las-bas Rien n'est moins volage On a tous un peu dans le rêve Souvenirs confus qu'on embellis de plus belle Pour toute la vie un modèle Dans le courage et pour l'hommage Je me raccroche aux souvenirs Le temps qu'on calme Le temps d'un drame Je me raccroche aux souvenirs Pas qu'une photo mais un bonheur Pas qu'une chanson pour laquelle on pleure Me soutiennent dans mes propos Et m'entrainent trainent trainent Toujours plus haut ",1948
